lead_time	retweet_count	username	updated_at	like_count	text	annotation_id	created_at	id	Unnamed: 0	sentiment	annotator
2.503	0	tanyakanrl	2023-02-27T15:16:42.618990Z	0	tanyarl 
cw // song joongki, hars word

katyperry join the clubâœ¨ï¸ https://t.co/K5Kguzgh0K	2422	2023-02-27T15:16:42.618990Z	2597	0	Negative	1
1.118	0	tanyakanrl	2023-02-27T15:16:44.077732Z	0	cw // kulit 

Ada yang tau cara ngilangin bekas (ga tau ini namanya apa) di kulit kayak gini kah? Ini aku abis ambiâ€¦ https://t.co/3ZIIsPVs3u	2423	2023-02-27T15:16:44.077732Z	2598	1	Negative	1
2.25	0	tanyakanrl	2023-02-27T15:16:46.622638Z	0	ğŸ’š guys, saranin ch YouTube kayak Nadia O'Mara, hirotada, Nessie, Ewing, dong. TIA	2424	2023-02-27T15:16:46.622638Z	2599	2	Positive	1
0.965	0	tanyakanrl	2023-02-27T15:16:48.083514Z	0	ğŸ’š ada gak sih orang yg gak suka ditanya gimn hari nya	2425	2023-02-27T15:16:48.083514Z	2600	3	Positive	1
1.153	0	tanyakanrl	2023-02-27T15:16:49.565650Z	0	ğŸ’š orang lain yg di bentak yg dimarahin, kok gw yg gemeter + deg2an ğŸ¥² huehuehue	2426	2023-02-27T15:16:49.565650Z	2601	4	Positive	1
1.358	0	tanyakanrl	2023-02-27T15:16:51.218077Z	0	User ip, brightness wa sender itu cahayanya teraaang banget, kalo keluar wa cahayanya jadi normal, padahal cahayanyâ€¦ https://t.co/bmA0f6xer6	2427	2023-02-27T15:16:51.218077Z	2602	5	Negative	1
1.214	0	tanyakanrl	2023-02-27T15:16:52.720266Z	0	ğŸ’š ada yg nyari pasien buat koas gigi sukabumi ga ya?	2428	2023-02-27T15:16:52.720266Z	2603	6	Positive	1
1.124	0	tanyakanrl	2023-02-27T15:16:54.116661Z	1	Sedih banget emg ldr tu, kami dah ldr 1,5 tahunğŸ˜ gimana kalian yang ldr? tanyarl https://t.co/FseMFGgV7p	2429	2023-02-27T15:16:54.116661Z	2604	7	Negative	1
1.059	0	tanyakanrl	2023-02-27T15:16:55.729975Z	6	ğŸ’š aku yang kadang dibeliin pembalut sama bapak ğŸ˜€ https://t.co/FZirRnIBb6	2430	2023-02-27T15:16:55.729975Z	2605	8	Negative	1
1.934	0	tanyakanrl	2023-02-27T15:16:57.938123Z	0	ğŸ’š maksud "Ln" di Facebook itu apa? Sender baru main fb bingung bener dah yang punya ilmu jitu cara main fb boleh drop lah. Tia	2431	2023-02-27T15:16:57.938123Z	2606	9	Positive	1
1.197	0	tanyakanrl	2023-02-27T15:16:59.396063Z	1	ğŸ’š emang bener, ga tidur dari pulang kerja sampe ketemu kerja lg tuh bahaya bgt. sender habis ngebuat masalah antaraâ€¦ https://t.co/A2VJix0zPF	2432	2023-02-27T15:16:59.396063Z	2607	10	Negative	1
1.404	0	tanyakanrl	2023-02-27T15:17:01.063225Z	1	ğŸ’š kata nya kita berhak menjauh dari sesuatu yang nyakitin kita, masa iya gue harus menjauh dari sekolahan gue?	2433	2023-02-27T15:17:01.063225Z	2608	11	Positive	1
0.792	0	tanyakanrl	2023-02-27T15:17:02.215964Z	0	ğŸ’š kalian kalo libur ngampus ngapain aja? sender gabut banget gatau harus ngapain):	2434	2023-02-27T15:17:02.215964Z	2609	12	Positive	1
1.292	0	tanyakanrl	2023-02-27T15:17:03.826841Z	5	ğŸ’š kakak kakak yg udah lulus gurunya kek gini juga gak? https://t.co/Kuw7Z2hRRK	2435	2023-02-27T15:17:03.826841Z	2610	13	Negative	1
1.146	0	tanyakanrl	2023-02-27T15:17:05.279831Z	4	ğŸ’š guys bagi nomor bot stiker wa dong ğŸ¥°	2436	2023-02-27T15:17:05.279831Z	2611	14	Positive	1
1.05	0	tanyakanrl	2023-02-27T15:17:06.624721Z	2	aku biasanya sih nonton film/drama gitu, tpi lagi mood, enaknya ngapain ya selain tidur, aku dah cape tidur sehariaâ€¦ https://t.co/a2igYgvbo8	2437	2023-02-27T15:17:06.624721Z	2612	15	Negative	1
0.967	0	tanyakanrl	2023-02-27T15:17:07.864171Z	9	ğŸ’š Dia masuk islam kh? https://t.co/ibFMncatwM	2438	2023-02-27T15:17:07.864171Z	2613	16	Negative	1
1.917	0	tanyakanrl	2023-02-27T15:17:10.073743Z	0	ğŸ’š boleh saran puisi yang bagus buat dibacain pas nanti maju di depan kelas?? tapi jangan yg tema percintaan gituu makasiii	2439	2023-02-27T15:17:10.073743Z	2614	17	Positive	1
1.583	0	tanyakanrl	2023-02-27T15:17:11.937035Z	0	ğŸ’š gais coba ceritain pengalaman magang kalian, kok sender takut ya.. ğŸ˜­	2440	2023-02-27T15:17:11.937035Z	2615	18	Positive	1
1.038	0	tanyakanrl	2023-02-27T15:17:13.328116Z	17	ğŸ’š ayooo main qrt random	2441	2023-02-27T15:17:13.328116Z	2616	19	Positive	1
1.168	0	tanyakanrl	2023-02-27T15:17:14.803036Z	1	ğŸ’š mi ni mal li ma ka ta https://t.co/rQjg2C5EwI	2442	2023-02-27T15:17:14.803036Z	2617	20	Negative	1
1.324	0	tanyakanrl	2023-02-27T15:17:16.423910Z	2	ğŸ’š capek banget gais :'' rasanya aku gagal dikehidupan ini, pengen m4t1 tapi pahala ku belum cukup banyak :(	2443	2023-02-27T15:17:16.423910Z	2618	21	Positive	1
1.508	0	tanyakanrl	2023-02-27T15:17:18.226457Z	0	ğŸ’š buat kuliah mending pantofel yang ada haknya  atau ga ada haknya? tengkyuuu	2444	2023-02-27T15:17:18.226457Z	2619	22	Positive	1
1.269	0	tanyakanrl	2023-02-27T15:17:20.338631Z	0	Aku kudu gimana bingung bgt ğŸ’š https://t.co/P7FZ5BpGtx	2445	2023-02-27T15:17:20.338631Z	2620	23	Negative	1
1.835	12	tanyakanrl	2023-02-27T15:17:22.852762Z	87	ğŸ’š CW // Horror  Paling takut sama setan yg ganggu shalat apalagi sampe depan depanan.. auto resign klo kantor bginiâ€¦ https://t.co/oYlqkLE9OV	2446	2023-02-27T15:17:22.852762Z	2621	24	Negative	1
1.67	0	tanyakanrl	2023-02-27T15:17:25.079518Z	1	udah kepikiran nama anak belum? spill dikit dong atau nama panggilannya aja ğŸ’š	2447	2023-02-27T15:17:25.079518Z	2622	25	Positive	1
1.213	0	tanyakanrl	2023-02-27T15:17:28.041670Z	0	ğŸ’š Urgent! Apakah ada yang punya info buat kontrak rumah/kos/apartemen yang murah daerah pakubuwono jakarta selatan?â€¦ https://t.co/eJZYQu0MSC	2448	2023-02-27T15:17:28.041670Z	2623	26	Negative	1
1.148	0	tanyakanrl	2023-02-27T15:17:32.909458Z	5	ğŸ’š what de fakkk , emang paling bener twitter ga di pegang si elon musrik ğŸ–•ğŸ» https://t.co/83exOck26p	2449	2023-02-27T15:17:32.909458Z	2624	27	Negative	1
0.919	0	tanyakanrl	2023-02-27T15:17:34.816740Z	2	Tanyarl 

Makasih yg mau bantu jawab https://t.co/JAJByJqBsa	2450	2023-02-27T15:17:34.816740Z	2625	28	Negative	1
1.982	0	tanyakanrl	2023-02-27T15:17:37.135096Z	1	ğŸ’š Pengen pakai pashmina tapi selalu ga nyaman bagian belakang yang pendek. Nanti tiba tiba keliatan leher &amp; rambut	2451	2023-02-27T15:17:37.135096Z	2626	29	Positive	1
1.212	1	tanyakanrl	2023-02-27T15:17:38.665713Z	1	Crush gue ngefollow dan nonton live bestie gue wkwk ğŸ’š	2452	2023-02-27T15:17:38.665713Z	2627	30	Positive	1
1.035	0	tanyakanrl	2023-02-27T15:17:40.054754Z	3	ğŸ’š  CW// K-drama

Ada gk yaa cowok di dunia rilll kaya dia ğŸ™ğŸ¼ https://t.co/Pj7MZ89I91	2453	2023-02-27T15:17:40.054754Z	2628	31	Negative	1
1.746	0	tanyakanrl	2023-02-27T15:17:42.120125Z	1	ğŸ’š cowok, sma, anak rumahan banget a.k.a jarang banget keluar rumah. menurut kalian orang kaya gini gimana guys??	2454	2023-02-27T15:17:42.120125Z	2629	32	Positive	1
1.127	0	tanyakanrl	2023-02-27T15:17:43.561756Z	2	ğŸ’š hai sender android user, mau coba ip, tolong kasih tau dong fitur, perkabelan, apps, dll supaya ga kaget ... TIA	2455	2023-02-27T15:17:43.561756Z	2630	33	Positive	1
1.572	0	tanyakanrl	2023-02-27T15:17:45.449051Z	29	ğŸ’š sender pnya temen Korea yg bisa bhs Indonesia, dia lucu bgt wkwkwk kita lg ngomongin B4b1..eh dia malah ngatain dâ€¦ https://t.co/323sWPign7	2456	2023-02-27T15:17:45.449051Z	2631	34	Negative	1
1.074	0	tanyakanrl	2023-02-27T15:17:46.810520Z	0	ğŸ’š tugas yang sender kerjain semaleman, tadi siang dicontek gitu aja sama seatmate sender. ini kalo sender ga ikhlasâ€¦ https://t.co/aWoeiT11CT	2457	2023-02-27T15:17:46.810520Z	2632	35	Negative	1
1.342	1	tanyakanrl	2023-02-27T15:17:48.418788Z	4	ğŸ’š drop video lyrics lagu yg deep bgt dong.	2458	2023-02-27T15:17:48.418788Z	2633	36	Positive	1
1.059	0	tanyakanrl	2023-02-27T15:17:49.924281Z	1	ğŸ’š A, i have a crush on you. tapi sainganku cewek paling cantik di sekolah, jadi aku mundur aja deh hahah	2459	2023-02-27T15:17:49.924281Z	2634	37	Positive	1
1.008	0	tanyakanrl	2023-02-27T15:17:51.305216Z	0	Guys udah liat film ini belum, asli sender malah kasian sama sashağŸ˜­ 
judul film â€œ this is cinta ğŸ’š â€ https://t.co/PiH5ZcCTzw	2460	2023-02-27T15:17:51.305216Z	2635	38	Negative	1
1.319	0	tanyakanrl	2023-02-27T15:17:52.936792Z	1	ğŸ’š guys mau nanya, aku udah disuruh kirim transkip nilai tapi nilai ku bahkan belum keluar semua di web kampus, ituâ€¦ https://t.co/WLH7fsIY0T	2461	2023-02-27T15:17:52.936792Z	2636	39	Negative	1
1.438	0	tanyakanrl	2023-02-27T15:17:54.664963Z	0	ğŸ’š misal beli tiket kereta tapi bukan akun milik sendiri tuh tiketnya ga bisa di ubah jadwal sm dibatalkan ya? Ini tâ€¦ https://t.co/wILORXzLot	2462	2023-02-27T15:17:54.664963Z	2637	40	Negative	1
0.803	3	tanyakanrl	2023-02-27T15:17:55.750638Z	18	tapi harus tetaf bertahan yagesya ğŸ’š https://t.co/xlYHADP6Bb	2463	2023-02-27T15:17:55.750638Z	2638	41	Negative	1
0.845	0	tanyakanrl	2023-02-27T15:17:56.881412Z	3	ğŸ’š aku harus gimana yaa https://t.co/w3Fw7Vujpp	2464	2023-02-27T15:17:56.881412Z	2639	42	Negative	1
2.989	0	tanyakanrl	2023-02-27T15:18:00.150956Z	4	ğŸ’š selamat pagi guysğŸ¥° kalian hari ini mau sarapan pake apa?	2465	2023-02-27T15:18:00.150956Z	2640	43	Positive	1
1.149	0	tanyakanrl	2023-02-27T15:18:01.579463Z	0	Kamu pekerja milenial usia 26-42 tahun dan memiliki atasan? Yuk merapat dan mohon kesediaannya untuk mengisi kuesioâ€¦ https://t.co/Bkcs7F0rjO	2466	2023-02-27T15:18:01.579463Z	2641	44	Negative	1
0.889	0	tanyakanrl	2023-02-27T15:18:02.739505Z	78	Tanyarl mi ni mal li ma ka ta https://t.co/ulpsCXCPbA	2467	2023-02-27T15:18:02.739505Z	2642	45	Negative	1
1.123	1	tanyakanrl	2023-02-27T15:18:04.139483Z	0	ğŸ’š aku mau ngechat crush ak mau minta save, tapi gaberani mental yupii. gmn ya cara ngechatnya mau minta save? ğŸ˜­ğŸ˜­	2468	2023-02-27T15:18:04.139483Z	2643	46	Positive	1
1.383	0	tanyakanrl	2023-02-27T15:18:05.777305Z	2	ğŸ’š gausa sok spik up ttg no for bully klo akhirnya lo juga pelaku bullying, wkwk munafik. merasa manusia baik ternyata hobi cyberbully	2469	2023-02-27T15:18:05.777305Z	2644	47	Positive	1
1.322	3	tanyakanrl	2023-02-27T15:18:07.359100Z	17	ğŸ’š mari berdoa buat temen" kita yang ada disana dan sekitarnya menurut kepercayaan masing" ğŸ™ https://t.co/2lEubxHDUD	2470	2023-02-27T15:18:07.359100Z	2645	48	Negative	1
1.157	0	tanyakanrl	2023-02-27T15:18:08.782489Z	6	Tanyarl guys yang pakai samsung galaxy Z flip3 review dong, + - nya apa aja? https://t.co/fUL4tT3sjz	2471	2023-02-27T15:18:08.782489Z	2646	49	Negative	1
1.061	0	tanyakanrl	2023-02-27T15:18:10.117019Z	0	ğŸ’š ada yg punya anak kecil umur min 1 thn dan bisa di ajak foto? Boleh minta tolong bantu aku ga buat campaign susuâ€¦ https://t.co/BMqTaNSAU9	2472	2023-02-27T15:18:10.117019Z	2647	50	Negative	1
1.105	5	tanyakanrl	2023-02-27T15:18:11.540425Z	15	ğŸ’š ngeri bgt ini gaiss akun igey nya si penipu masih ada, ksian kalo bnyak yg ketipuu. please jgn ada yg bewlii di @â€¦ https://t.co/rHRZmx135Q	2473	2023-02-27T15:18:11.540425Z	2648	51	Negative	1
1.402	0	tanyakanrl	2023-02-27T15:18:13.220306Z	0	ğŸ’š mau tanya dong, klo de4ct igeh kan dm igeh nya jadi "user inst4gr4m" klo delete igeh kaya gitu jga ga? apa langsuâ€¦ https://t.co/rSBbxmIcbn	2474	2023-02-27T15:18:13.220306Z	2649	52	Negative	1
1.549	0	tanyakanrl	2023-02-27T15:18:15.133447Z	0	ğŸ’š haii ada yg punya contoh proposal pengajuan jasa ke perusahaan/organisasi? butuh bangett :(	2475	2023-02-27T15:18:15.133447Z	2650	53	Positive	1
1.273	0	tanyakanrl	2023-02-27T15:18:16.726814Z	0	ğŸ’š guisee ada yang pake ini ga? ini tuh sama kaya g0pay/d4na gitu atau emang kaya mbank1ng? https://t.co/hjOwYbTBG2	2476	2023-02-27T15:18:16.726814Z	2651	54	Negative	1
1.459	0	tanyakanrl	2023-02-27T15:18:18.493266Z	0	tanyarl cara biar cepet bisa bobo gimana ya? aku udh merem dari jam 9 tapi baru bisa tidur jam set 11 huhu	2477	2023-02-27T15:18:18.493266Z	2652	55	Positive	1
1.059	0	tanyakanrl	2023-02-27T15:18:19.834726Z	0	ğŸ’š kalian yang cewe biasanya kalo mau jalan preparenya berapa lama? serius nanya	2478	2023-02-27T15:18:19.834726Z	2653	56	Positive	1
1.761	0	tanyakanrl	2023-02-27T15:18:21.886765Z	0	guys kalo biaya pasang behel 5jt gitu misal, itu udah include atas bawah kan? atau biaya buat satu rahang aja? ğŸ’š	2479	2023-02-27T15:18:21.886765Z	2654	57	Positive	1
1.179	0	tanyakanrl	2023-02-27T15:18:23.348802Z	0	ğŸ’š Yamaha F310 atau Yamaha F400 buat pemula? sender pilih akustik hehe..	2480	2023-02-27T15:18:23.348802Z	2655	58	Positive	1
